threshold,precision,recall,f1,predicted_positives,tn,fp,fn,tp
0.05,0.11785400175901495,0.6473429951690821,0.19940476190476192,1137,42637,1003,73,134
0.1,0.19929453262786595,0.5458937198067633,0.29198966408268734,567,43186,454,94,113
0.15,0.22134387351778656,0.5410628019323671,0.3141654978962132,506,43246,394,95,112
0.2,0.3659574468085106,0.41545893719806765,0.3891402714932127,235,43491,149,121,86
0.25,0.3659574468085106,0.41545893719806765,0.3891402714932127,235,43491,149,121,86
0.3,0.36752136752136755,0.41545893719806765,0.3900226757369615,234,43492,148,121,86
0.35,0.36752136752136755,0.41545893719806765,0.3900226757369615,234,43492,148,121,86
0.4,0.36752136752136755,0.41545893719806765,0.3900226757369615,234,43492,148,121,86
0.45,0.39779005524861877,0.34782608695652173,0.3711340206185567,181,43531,109,135,72
0.5,0.39779005524861877,0.34782608695652173,0.3711340206185567,181,43531,109,135,72
0.55,0.4634146341463415,0.09178743961352658,0.1532258064516129,41,43618,22,188,19
0.6,0.4634146341463415,0.09178743961352658,0.1532258064516129,41,43618,22,188,19
0.65,0.4634146341463415,0.09178743961352658,0.1532258064516129,41,43618,22,188,19
0.7,0.5135135135135135,0.09178743961352658,0.1557377049180328,37,43622,18,188,19
0.75,0.5428571428571428,0.09178743961352658,0.15702479338842976,35,43624,16,188,19
0.8,0.5625,0.08695652173913043,0.1506276150627615,32,43626,14,189,18
0.85,0.5,0.004830917874396135,0.009569377990430622,2,43639,1,206,1
0.9,1.0,0.004830917874396135,0.009615384615384616,1,43640,0,206,1
0.95,1.0,0.004830917874396135,0.009615384615384616,1,43640,0,206,1
